"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Press Horizontal (Machine)",,"",0,"normal",22.5,20,,,6
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Press Horizontal (Machine)",,"",1,"normal",60,12,,,9
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Press Horizontal (Machine)",,"",2,"normal",60,12,,,9.5
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Press Horizontal (Machine)",,"",3,"normal",60,16,,,10
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Extension (Machine)",,"",0,"normal",48.75,12,,,9
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Extension (Machine)",,"",1,"normal",48.75,12,,,9.5
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Leg Extension (Machine)",,"",2,"normal",48.75,12,,,10
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Lying Leg Curl (Machine)",,"",0,"normal",33.75,12,,,9.5
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Lying Leg Curl (Machine)",,"",1,"normal",33.75,8,,,10
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Lying Leg Curl (Machine)",,"",2,"normal",33.75,8,,,10
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Hip Abduction (Machine)",,"",0,"normal",48.75,12,,,9.5
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Hip Abduction (Machine)",,"",1,"normal",48.75,12,,,10
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Hip Abduction (Machine)",,"",2,"normal",41.25,12,,,10
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Hip Adduction (Machine)",,"",0,"normal",41.25,12,,,9.5
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Hip Adduction (Machine)",,"",1,"normal",41.25,12,,,9.5
"Legs","Apr 17, 2026, 5:46 PM","Apr 17, 2026, 6:39 PM","","Hip Adduction (Machine)",,"",2,"normal",41.25,12,,,10
